siteID,forecast,sd
ARIK,108.33333333333333,34.372469603836535
BARC,84.66666666666667,20.31419864692345
BIGC,149.5,51.61879502661797
BLDE,169,21.213203435596427
BLUE,130.33333333333334,29.484459183327974
BLWA,87,56.15158056546583
CARI,92.25,9.394147114027968
COMO,104.4,31.769482211707512
CRAM,113.2,20.486580973896057
CUPE,78.6,8.29457654133109
FLNT,143.33333333333334,10.692676621563626
GUIL,88,20.359273071502333
HOPB,174.25,46.650294747193186
KING,81.6,28.20106380972179
LECO,149.6,55.265721745038306
LEWI,99.5,49.78955713801841
LIRO,131.33333333333334,4.932882862316247
MART,151,39.59797974644666
MAYF,110.16666666666667,48.61858355265676
MCDI,106,18.520259177452136
MCRA,149.66666666666666,40.62429486567531
OKSR,88.5,21.486429825977762
POSE,139,60.166435825965294
PRIN,126.5,33.6699668349505
PRLA,50.5,16.95582495781317
PRPO,45.666666666666664,14.719601443879744
REDB,110.5,30.83828789021855
SUGG,83.33333333333333,17.806365902863693
SYCA,94.5,47.37615433949868
TECR,110,NA
TOMB,71.25,41.42764777295472
TOOK,93.25,19.653244007033546
WALK,159.4,27.91594526431086
WLOU,117,5
